"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated"
"PLIN3",0.258254089155187,14.7190724689533,3.0673725339294,0.00357024072153928,0.0652370606514344,-1.98461585988546,"PLIN3",0.0438452276013256,2.44730250083131,"yes"
"SUOX",0.258048692574203,12.3228770782542,1.17972663737185,0.244021827496069,0.558788664552158,-5.48436367183754,"SUOX",0.375556714752008,0.612571324738666,"no"
"BAG6",0.258013320804393,12.4495574668269,4.19020041677783,0.000121194039467359,0.0118802610117089,1.07437425508741,"BAG6",0.00798461400345261,3.91651873899886,"yes"
"PPM1F",0.257633142165366,10.4743555646993,1.82861454181489,0.0770339102572687,0.318973581819537,-4.4326392782943,"PPM1F",0.214379206451573,1.11331805670126,"no"
"RPL38",0.25738294965122,12.0082696770492,2.03055489945238,0.0479561338124232,0.247012107587186,-4.22804319484838,"RPL38",0.16601456241737,1.31915583665766,"no"
"DLST",0.257335140221905,16.9789989499041,2.13306438915129,0.0381491962861753,0.221742203413394,-4.03807512184739,"DLST",0.149030892569283,1.41851460717583,"no"
"CDC34",0.257306536834715,11.8301146357745,2.61268561594693,0.0120126524486185,0.117398227150397,-3.05196720176123,"CDC34",0.0789022671776078,1.9203610878001,"no"
"RPS10",0.256878056206039,13.0710486877956,3.25325979019597,0.00211136595472241,0.0479987478066978,-1.51589070574628,"RPS10",0.0322595163109486,2.6754364856207,"yes"
"PAFAH1B2",0.256857595491487,14.4543035401525,2.84963344171398,0.00646853954987426,0.085435510563932,-2.51051674055223,"PAFAH1B2",0.0574204197507586,2.18919376214841,"no"
"PTGR1",0.256827267419993,11.5517697030359,1.94015858900803,0.0584791805272888,0.274535857193239,-4.38088368589852,"PTGR1",0.184513021021555,1.2329987218055,"no"
"ACSM5",0.256732900730078,11.5024211222156,1.22122385838772,0.230869768441373,0.545690277894953,-5.27521607357042,"ACSM5",0.366753409721699,0.636632932646605,"no"
"JSRP1",0.256711697738611,11.5978279094555,1.60641380610327,0.114854298553203,0.386679995970089,-4.92870404379016,"JSRP1",0.259884063795806,0.939852746198154,"no"
"CTTN",0.256311075975583,10.5303377286367,3.16687434742366,0.0027004656595469,0.0548270598343219,-1.73588220904818,"CTTN",0.0368487619329073,2.56856134105048,"yes"
"XIRP2",0.255771047878055,15.2117101821819,0.768566234944349,0.445980045422198,0.730936083954966,-5.86686378734756,"XIRP2",0.491255409777916,0.350684572581358,"no"
"NDUFA6",0.255570494962235,14.538229093392,1.70403505242692,0.0949513539566954,0.351405331780684,-4.78005093975182,"NDUFA6",0.236176286889539,1.02249883807042,"no"
"NDUFAF7",0.255552618147059,12.7801119678562,2.05998327336322,0.0449383954010244,0.24066795197052,-4.17429729538087,"NDUFAF7",0.161750713859919,1.34738243883549,"no"
"MRPS7",0.254805382257807,11.8810318430223,2.16768677869301,0.0357385872290385,0.214596849556813,-3.944359003743,"MRPS7",0.144228566054179,1.44686261945096,"no"
"VAMP5",0.254729508384969,11.0247922351302,1.74956687443333,0.0872956298906385,0.33925229298323,-4.67479897178653,"VAMP5",0.228008341448692,1.05900749698041,"no"
"UBQLN2",0.254201142982225,10.8216677886452,2.32127800100008,0.024639916418534,0.173260680572277,-3.66966509982595,"UBQLN2",0.116446907604275,1.60836076968257,"no"
"EEF1A1",0.254034635091543,14.8175607937714,2.49902829416367,0.0159902611350723,0.137611710007204,-3.29946397849513,"EEF1A1",0.0924875628304511,1.79614444378379,"no"
"ADSS1",0.253803600081588,15.2091799187253,3.39909395534487,0.00138327010347905,0.0391763340336587,-1.13637071978663,"ADSS1",0.0263300532724654,2.85909300933606,"yes"
"THRAP3",0.25289924857432,11.1922009090638,2.06737628793431,0.0457094223430106,0.242584880574306,-4.07968234700981,"THRAP3",0.163039063918754,1.33999426711207,"no"
"NDUFB10",0.252556989425592,16.6604703045997,2.02221408975362,0.0488427910417077,0.247626072954506,-4.24315937168211,"NDUFB10",0.16642720288585,1.31119952696755,"no"
"CPSF7",0.252393533709022,9.47057908623542,1.81617958773484,0.0758356969583773,0.316402770377716,-4.59114827856383,"CPSF7",0.212651387759848,1.12012631755093,"no"
"TST",0.251888391054964,15.0663641066905,1.4552188834525,0.152228651766909,0.442347374744249,-5.14340131705263,"TST",0.297297596348465,0.81750359899001,"no"
"SLC25A6",0.251867725631849,13.8845132292137,1.12816868353351,0.265202408935482,0.575736856145327,-5.52216014851905,"SLC25A6",0.386947438221352,0.576422535385532,"no"
"SARS1",0.251618371225762,11.9978938202914,4.23108968611242,0.000106275095693255,0.011850301511776,1.19451301953165,"SARS1",0.00796447849948813,3.973568495309,"yes"
