"","protein","group"
"373","LMNA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"374","SPTA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"375","TNNC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"376","APOA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"377","APOE","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"378","APOA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"379","APOC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"380","APOC3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"381","FGA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"382","FGB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"383","FGG","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"384","SLC4A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"385","APCS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"386","C9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"387","APOH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"388","LRG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"389","FN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"390","RBP4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"391","AMBP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"392","ORM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"393","AHSG","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"394","TTR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"395","ALB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"396","GC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"397","PPBP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"398","PF4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"399","TFRC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"400","TF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"401","LTF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"402","HPX","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"403","FTL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"404","FTH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"405","MT-ND1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"406","MT-ND2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"407","MT-ND3","Male_type_I"
"408","MT-ND4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"409","MT-ND5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"410","MT-ATP8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"411","C4BPA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"412","VTN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"413","CAT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"414","ALDOA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"415","CSTB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"416","ANXA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"417","APOB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"418","SOD2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"419","HRG","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"420","THY1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"421","A1BG","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"422","KRT6B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"423","KRT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"424","VWF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"425","TUBB4A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"426","GAPDH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"427","HLA-A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"428","CAPNS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"429","HSPB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"430","RPN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"431","RPN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"432","GNAI2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"433","H2AC8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"434","ATP1A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"435","ATP1B1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"436","ARG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"437","APOD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"438","ALDH2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"439","S100A8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"440","SERPING1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"441","MPO","Male_type_I, Female_type_I"
"442","PCCA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"443","PCCB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"444","EIF2S1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"445","RPLP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"446","RPLP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"447","RPLP0","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"448","FABP3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"449","CLEC3B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"450","SSB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"451","SERPINA7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"452","SERPIND1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"453","ITGB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"454","MYL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"455","UROD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"456","IGKV2-30","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"457","IGKV4-1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"458","GSN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"459","PTMA","Male_type_I"
"460","ATP5F1B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"461","S100A9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"462","S100A6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"463","APOA4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"464","EIF4E","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"465","CKM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"466","ENO1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"467","PYGL","Male_type_I, Male_type_II, Female_type_II"
"468","GPI","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"469","NPM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"470","TPM3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"471","ITGAV","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"472","EPHX1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"473","DBI","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"474","LDHB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"475","GPX1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"476","PGK2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"477","P4HB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"478","H1-0","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"479","CTSD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"480","ANXA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"481","C8A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"482","CAPN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"483","TUBB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"484","CA3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"485","DCN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"486","PSAP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"487","HEXB","Male_type_I, Male_type_II, Female_type_I"
"488","CTSL","Male_type_I, Male_type_II, Female_type_II"
"489","PFN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"490","BPGM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"491","APRT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"492","EPRS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"493","CTSB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"494","HSP90AA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"495","GALT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"496","HNRNPC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"497","UQCRH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"498","LAMB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"499","TPM2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"500","FH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"501","ANXA6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"502","RHOC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"503","SERPINA6","Male_type_I, Female_type_I"
"504","GUSB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"505","PFKM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"506","HSP90AB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"507","SRPRA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"508","SOD3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"509","CTSG","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"510","HMBS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"511","MME","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"512","PDHA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"513","COL4A2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"514","CYC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"515","MYL3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"516","CFH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"517","VIM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"518","RPS17","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"519","ANXA5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"520","KRT16","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"521","RPSA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"522","MRPL3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"523","ENO2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"524","ACAA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"525","GSTP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"526","SNRPC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"527","LGALS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"528","QDPR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"529","HMGB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"530","RBP1","Male_type_I, Male_type_II, Female_type_I"
"531","SPARC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"532","GSTM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"533","TPM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"534","CLTB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"535","ANXA4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"536","CNP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"537","HMOX1","Male_type_I, Male_type_II"
"538","DLD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"539","HNRNPA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"540","CTSH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"541","COX6C","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"542","PARP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"543","UCHL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"544","LTA4H","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"545","ALDOC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"546","C4A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"547","H2AZ1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"548","GSTT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"549","POTEI","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"550","POTEJ","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"551","SLC35E2B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"552","SULT1A3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"553","HSPA1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"554","IGLC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"555","CALM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"556","TUBA3C","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"557","RO60","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"558","GAA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"559","RRAS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"560","HLA-C","Male_type_I, Male_type_II, Female_type_I"
"561","DLAT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"562","TXN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"563","COX5B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"564","CTSA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"565","MAPT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"566","PRKAR1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"567","ESD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"568","HSPD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"569","CLU","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"570","MYL2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"571","HSPA5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"572","LAMC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"573","MYH3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"574","HSPA8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"575","SLC2A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"576","EPB41","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"577","PDHB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"578","DBT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"579","PYGB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"580","PYGM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"581","RALA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"582","SPTB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"583","ACADM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"584","DMD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"585","MTHFD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"586","ADH5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"587","CDK4","Male_type_I, Female_type_I"
"588","HARS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"589","COL6A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"590","COL6A2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"591","COL6A3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"592","SLC25A4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"593","SLC25A6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"594","IMPDH2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"595","TPR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"596","PIP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"597","CKB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"598","ANXA3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"599","BCKDHA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"600","ACTN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"601","ACE","Male_type_I, Female_type_II"
"602","MYL4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"603","MYH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"604","MYH7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"605","PEPD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"606","XRCC6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"607","XRCC5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"608","COX4I1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"609","LAMP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"610","RNH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"611","MYH6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"612","MYH8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"613","VCAN","Male_type_I"
"614","EEF2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"615","KRT10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"616","KRT5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"617","PDIA4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"618","P4HA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"619","TPT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"620","ALAD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"621","PLS3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"622","APEH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"623","ETFA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"624","TNNT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"625","GYS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"626","PRKAR2A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"627","ENO3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"628","CD59","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"629","MIF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"630","PRKCSH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"631","FDPS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"632","COX7A2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"633","NID1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"634","AKR1A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
